postcode,postcodelat,postcodelong,lsoacode,lsoaname,lsoalat,lsoalong,IMD-rank
B23 6NS,52.529654,-1.845762,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5QA,52.534405,-1.841971,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5QB,52.534917,-1.842043,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5SA,52.532838,-1.840341,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 6NB,52.530084,-1.844626,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5PN,52.534331,-1.840718,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 6ND,52.530381,-1.844801,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5RN,52.533225,-1.847415,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5PP,52.534139,-1.844493,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5RP,52.532225,-1.845812,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5PR,52.535187,-1.841895,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5PS,52.535602,-1.842837,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5RR,52.532368,-1.84478,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5PT,52.536017,-1.84431,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5SH,52.531625,-1.846994,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5RS,52.532096,-1.84341,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5PU,52.535262,-1.844209,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5RT,52.532492,-1.843718,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5RU,52.532608,-1.8427,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5RB,52.531933,-1.841951,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5PX,52.535162,-1.843177,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5PY,52.534434,-1.843799,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5RX,52.532696,-1.841638,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5PZ,52.534218,-1.843284,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 6NR,52.530671,-1.846466,E01009002,Birmingham 023A,52.5336,-1.84442,646
B23 5RL,52.535141,-1.847998,E01009002,Birmingham 023A,52.5336,-1.84442,646
B29 6BU,52.440508,-1.930382,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6HQ,52.437954,-1.927885,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6DA,52.439267,-1.92856,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6DB,52.440751,-1.930117,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6EL,52.438153,-1.930371,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6BY,52.438988,-1.928766,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6EN,52.437506,-1.930357,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6EP,52.438467,-1.929664,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6HE,52.438781,-1.927428,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6ES,52.438611,-1.929355,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6ET,52.440266,-1.930971,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6HH,52.437136,-1.928784,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6HJ,52.436732,-1.929814,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B29 6EW,52.438019,-1.931357,E01009290,Birmingham 096F,52.43875,-1.92997,22287
B17 0RJ,52.449396,-1.96243,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0TJ,52.446708,-1.961019,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0SA,52.446509,-1.959033,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RL,52.448335,-1.960135,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0BD,52.45264,-1.957851,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B29 5SL,52.445701,-1.960123,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0QD,52.448963,-1.957913,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0TL,52.446447,-1.961638,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0QE,52.448496,-1.957457,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0QF,52.44855,-1.958531,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0QG,52.449332,-1.959413,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0SG,52.447157,-1.958871,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RR,52.447472,-1.960695,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B29 6SY,52.444809,-1.955622,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RS,52.447832,-1.963211,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RT,52.448193,-1.965462,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0QL,52.451679,-1.959382,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RB,52.448803,-1.963504,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RX,52.447482,-1.963388,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RD,52.449118,-1.963798,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RY,52.44713,-1.960843,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RE,52.448696,-1.965535,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B29 6TA,52.445484,-1.957769,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RF,52.448237,-1.963181,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0QQ,52.449684,-1.962135,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B29 6TB,52.44516,-1.958123,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0TE,52.448624,-1.966315,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RG,52.447849,-1.960577,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0QR,52.450249,-1.958,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0RH,52.449117,-1.960517,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B17 0QS,52.449413,-1.957707,E01009077,Birmingham 095C,52.44868,-1.96044,11540
B29 6TD,52.444738,-1.957534,E01009077,Birmingham 095C,52.44868,-1.96044,11540
